/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:249: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:269: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
92 30.604468348540166 0.168 -79.297 -0.0
93 3.219384550960798 0.401 -17.613 -0.0
94 9.911197495065677 0.06 -5.748 -0.0
95 6.089075266788965 0.003 -11.127 -0.0
96 12.63763329568384 0.123 -3.224 -0.0
97 8.70304113952318 0.381 -4.302 -0.0
98 6.32106197185206 0.209 -3.45 -0.0
99 6.716364095920272 0.315 -16.368 -0.0
100 1.5320335764994222 0.135 -0.849 -0.0
101 3.2924582792604737 0.264 -4.627 -0.0
102 3.4610216129868574 0.392 -2.145 -0.0
103 1.5778337973212326 0.37 0.271 -0.0
104 12.533992931802151 0.143 -55.141 -0.0
105 11.16479315271196 0.245 -3.38 -0.0
106 1.6534759740366078 0.408 -12.972 -0.0
107 3.160805990279467 0.35 -13.183 -0.0
108 9.542422363715868 0.213 -2.448 -0.0
109 22.090730434378386 0.554 -65.609 -0.0
110 14.84461141216205 0.061 -49.773 -0.0
111 4.993717839939571 0.643 -1.531 -0.0
112 3.2136676918003158 0.46 -27.521 -0.0
113 4.711359160329972 0.56 4.047 -0.0
114 9.491529905098817 0.334 -15.677 -0.0
115 12.418415619873922 0.202 -31.828 -0.0
116 1.5160780256461255 0.283 -2.821 -0.0
117 4.546368554950186 0.364 -3.174 -0.0
118 10.373364397954724 0.52 -15.391 -0.0
119 8.53779620587748 0.125 -36.359 -0.0
120 8.082878055825754 0.567 -1.354 -0.0
121 22.535143601701566 0.069 -2.484 -0.0
122 7.98216988046452 0.3 -17.114 -0.0
123 35.92737548728442 0.499 -10.3 -0.0
124 1.5348453703968241 0.169 -4.893 -0.0
125 3.1906926414042833 0.586 -16.804 -0.0
126 1.902970577859676 0.465 -16.484 0.0
127 7.298796380218903 0.176 -27.08 -0.0
128 25.101531193734825 0.142 -101.906 -0.0
129 7.134101631345965 0.396 -3.46 -0.0
130 3.1370101978688836 0.212 -5.573 -0.0
131 11.824292089932513 0.49 -10.006 -0.0
132 16.31984809555307 0.259 -4.333 -0.0
133 23.044919483276736 0.006 -7.547 -0.0
134 4.59337500059041 0.373 -2.215 -0.0
135 45.154903942307655 0.013 -7.854 -0.0
136 6.825995285918383 0.224 -1.981 -0.0
137 16.916946757077838 0.279 -2.66 -0.0
138 4.769379679118824 0.014 -11.88 -0.0
139 4.638378317588764 0.066 0.49 -0.0
140 9.703174849496516 0.14 -3.77 -0.0
141 3.0876835317992066 0.158 -5.869 -0.0
142 8.02768230642471 0.066 -7.117 -0.0
143 12.054327588164345 0.006 -13.659 -0.0
144 28.52720750432603 0.534 -17.525 -0.0
145 1.6723567158859078 0.418 -14.422 -0.0
146 24.555697566494853 0.375 -0.093 -0.0
147 48.36514547242861 0.453 -1.593 -0.0
148 14.107146063303723 0.033 -7.435 -0.0
149 13.809478827726046 0.033 0.077 -0.0
150 16.90439043671762 0.033 -1.123 -0.0

151 22.60674683080329 0.112 -4.157 -0.0
152 40.05117677120683 0.344 -11.348 -0.0
153 3.119714947436079 0.18 -10.958 -0.0
154 10.659840978282766 0.393 -17.466 -0.0
155 21.9064603266997 0.178 5.019 -0.0
156 1.0128132321527321 0.148 -48.362 -0.0
157 72.36060277902808 0.586 -6.957 -0.0
158 1.1201196738507955 0.145 -4.619 -0.0
159 2.1749750354048514 0.153 -3.057 -0.0
160 5.538833827631514 0.063 -10.653 -0.0
161 162.3480619928036 0.099 -1.923 -0.0
